workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
2383,2022,how to secure distributed filters under sensor attacks,x. he; x. ren; h. sandberg; k. h. johansson,ieee transactions on automatic control,ieee,57,109,19,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2385,2023,attack detection for cyber-physical systems: a zonotopic approach,j. li; z. wang; y. shen; l. xie,ieee transactions on automatic control,ieee,35,109,17.5,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2386,2022,worst-case stealthy attacks on stochastic event-based state estimation,j. shang; h. yu; t. chen,ieee transactions on automatic control,ieee,27,109,9,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2387,2022,optimal stealthy linear attack on remote state estimation with side information,d. ye; b. yang; t. -y. zhang,ieee systems journal,ieee,22,74,7.333333333333333,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2388,2022,a gan-based data injection attack method on data-driven strategies in power systems,z. liu; q. wang; y. ye; y. tang,ieee transactions on smart grid,ieee,23,130,7.666666666666667,Q1,h5-index+quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2389,2023,the loft attack: overflowing sdn flow tables at a low rate,j. cao; m. xu; q. li; k. sun; y. yang,ieee/acm transactions on networking,ieee,19,65,9.5,Q1,h5-index+quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2391,2023,on information fusion in optimal linear fdi attacks against remote state estimation,j. zhou; j. shang; t. chen,ieee transactions on control of network systems,ieee,9,,4.5,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2392,2024,optimal stealthy attacks with energy constraint against remote state estimation,x. liu; g. -h. yang,ieee transactions on cybernetics,ieee,8,,8,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2393,2022,improved interval estimation method for cyber-physical systems under stealthy deception attacks,j. fan; j. huang; x. zhao,ieee transactions on signal and information processing over networks,ieee,13,,4.333333333333333,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2395,2023,stealthy noise injection attacks against state estimation in interconnected systems,j. -r. huo; x. -j. li,ieee transactions on circuits and systems ii: express briefs,ieee,3,,1.5,Q1,quartile,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
